scope,outcome,outcome_type,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,clusters,pvalue_wild_restricted,cluster
headline_all_products,variety_seeking,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.03128997707109778,0.011997454820254697,0.009111725205414256,0.007774179385497751,0.0548057747566978,99644,0.000538359269136035,23363,,member_id
headline_all_products,variety_seeking,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,-0.010198599370070865,0.008256110422235076,0.21673912934481177,-0.026381116851318793,0.005983918111177062,99644,0.000538359269136035,23363,,member_id
headline_all_products,variety_seeking,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.04148857503291465,0.014500808984938548,0.0042251994934781045,-0.06991111093541758,-0.013066039130411718,99644,0.0005383592598784404,23363,,member_id
headline_all_products,variety_seeking,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,0.03808424350037255,0.0063897815355666064,2.5557531646569487e-09,0.02555985294447821,0.050608634056266893,99644,0.0005383592598784404,23363,,member_id
all_noncoffee,novelty_all_noncoffee,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.06466686238566983,0.021773617137728487,0.0029855463983412545,0.021986097979969102,0.10734762679137057,30444,0.0008495247661021166,9824,,member_id
all_noncoffee,novelty_all_noncoffee,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,0.02338285418413559,0.016001841144430453,0.14397602363273054,-0.007984043085287745,0.054749751453558926,30444,0.0008495247661021166,9824,,member_id
all_noncoffee,novelty_all_noncoffee,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.041284006073555556,0.02669768152000471,0.12205185859738199,-0.09361694864005768,0.011048936492946568,30444,0.0008495247401373307,9824,,member_id
all_noncoffee,novelty_all_noncoffee,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,-0.018187855386805604,0.012304439581878344,0.13939865143221608,-0.042307085720306156,0.005931374946694951,30444,0.0008495247401373307,9824,,member_id
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,low_predicted_incidence_effect,post_X_treated_X_low,0.0034448513732332586,0.0029494651138639726,0.24283064305645508,-0.002336168311554181,0.009225871058020698,321184,0.005603667847227434,40148,,member_id
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,high_predicted_incidence_effect,post_X_treated_X_high,-0.013563944537098317,0.007654474913610644,0.07639747809408748,-0.028566892001807873,0.0014390029276112395,321184,0.005603667847227434,40148,,member_id
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,high_minus_low_ddd,post_X_treated_X_disp,-0.01700879664660776,0.008200840578628554,0.03808280134983355,-0.033082633422641505,-0.0009349598705740113,321184,0.005603667849163552,40148,,member_id
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,common_high_minus_low_post_shift,post_X_disp,-0.08947127777656198,0.003457499961162679,0.0,-0.09624805748542518,-0.08269449806769878,321184,0.005603667849163552,40148,,member_id
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.06442176158824567,0.021800840071207618,0.00313398722650593,0.0216876314195606,0.10715589175693074,30418,0.0008596502214102131,9818,,member_id
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,0.023331886051934737,0.01601839003771375,0.14526744597262597,-0.008067452814299561,0.054731224918169036,30418,0.0008596502214102131,9818,,member_id
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.0410898733210721,0.02672813030993557,0.12424550899775211,-0.09348250571962229,0.011302759077478089,30418,0.0008596501944891921,9818,,member_id
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,-0.01886438042425369,0.012308043327911423,0.12538516873247296,-0.042990676657738564,0.0052619158092311845,30418,0.0008596501944891921,9818,,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,low_predicted_incidence_effect,post_X_treated_X_low,0.0034871863601259653,0.0029491312227253653,0.23703605966095842,-0.0022931788903249595,0.00926755161057689,321184,0.005606889846547558,40148,,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,high_predicted_incidence_effect,post_X_treated_X_high,-0.01397231218860851,0.007654431108297855,0.06794981619825524,-0.02897517379389415,0.0010305494166771324,321184,0.005606889846547558,40148,,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,high_minus_low_ddd,post_X_treated_X_disp,-0.017459499283865337,0.008200705142554858,0.03325833106008025,-0.03353307060206933,-0.0013859279656613446,321184,0.0056068898485057694,40148,,member_id
