spec,term,coef,se,pvalue,n,r2_within
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.006560045369314496,0.05748105639691394,0.9091650687845718,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.056093740587532595,0.0585580091555444,0.33837358096244063,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.007830052844413104,0.05805340492510035,0.892740905816328,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",-0.04000562324609653,0.058429711304199786,0.4937306875017833,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.09279792401759951,0.06138027379603799,0.1309387321284987,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.1905750969816597,0.059836351927732005,0.0014999967790882973,3441,0.009334530853141842
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.17941176579785872,0.05815374565868955,0.002099741524080212,3441,0.009334530853141842
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.06972552638494171,0.08902062338849125,0.4336951451199442,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.08928215395935551,0.09236617469077325,0.3340103087660058,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.015662209548255934,0.09629215632088503,0.8708298526112477,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",-0.13074579949180573,0.09514599904386606,0.16975011273620044,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.16376059379220168,0.10007195512726451,0.10211582174964962,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.25978756962641925,0.09317831357287042,0.005419314351044591,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.2666082451321154,0.08862842617347814,0.002704961598934963,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.11285899958464049,0.11816853122757849,0.33981161503378154,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.038522555727906464,0.11897387478795687,0.7461757214856917,3441,0.014123453940391162
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.01842100275838806,0.11922744661668747,0.8772493663965104,3441,0.014123453940391162
